proj_heading,proj_url
You have to design the selection strategy of the best Load Carrier Available at a Location to maximize a courier company profit.                            ,/projects/python/you-have-design-the-selection/
Design a simple shell                            ,/projects/articles/design-simple-shell/
"""Patigucci"" x Victoria BC                            ",/contest/quotpatigucciquot-x-victoria-bc-1334963.html
SketchbookPro Artist                            ,/projects/illustrator/sketchbookpro-artist/
Derive Conclusions and Buckets from Answers of Questionnaire                            ,/projects/data-entry/derive-conclusions-buckets-from-answers-17035180/
Draw a Fantasy Map for Novel                            ,/projects/illustrator/draw-fantasy-map-for-novel/
German X-Theme Web Designer & Wordpress Developer                            ,/projects/php/german-theme-web-designer-wordpress/
Derive Conclusions and Buckets from Answers of Questionnaire.                            ,/projects/data-entry/derive-conclusions-buckets-from-answers-16999063/
Derive Conclusions and Buckets from Answers of a Questionnaire.                            ,/projects/data-entry/derive-conclusions-buckets-from-answers-16992691/
Derive Conclusions & Buckets from Answers of a Questionnaire.                            ,/projects/data-entry/derive-conclusions-buckets-from-answers/
Derive Conclusions & Create Buckets from Answers of a Questionnaire.                            ,/projects/data-entry/derive-conclusions-create-buckets-from-16990548/
Derive Conclusions and Create Buckets from Answers of a Questionnaire.                            ,/projects/data-entry/derive-conclusions-create-buckets-from/
Hire a Virtual Assistant to publish 250 apartments                            ,/projects/data-entry/list-apartments-our-site/
Need Logo Design                            ,/contest/need-logo-design-1328346.html
Design Mobile App Screens (Based on Perfect Mockups)                            ,/projects/graphic-design/design-mobile-app-screens-based-16980816/
shell linux                            ,/projects/c-programming/shell-linux/
Conversion tool - Windows 10 Phone to Android for SMS messages and WhatsApp history                            ,/projects/mobile-phone/conversion-tool-windows-phone-android/
Design Mobile App Screens (Based on Perfect Mocks)                            ,/projects/graphic-design/design-mobile-app-screens-based-16970341/
Development help needed to make a Last Day on Earth (LDOE) clone to base another game from                            ,/projects/mobile-phone/development-help-needed-make-last/
Set-up drop shipping in our Shopify store? And fix our ad-words & SEO too? :)                            ,/projects/seo/set-drop-shipping-our-shopify/
3 complex sewing patterns for my clothing brand                            ,/projects/graphic-design/complex-sewing-patterns-for-clothing/
drawing of a space craft                            ,/projects/graphic-design/drawing-space-craft/
Modelling 3D Objects for Unity mobile game. (Need talented designers!)                            ,/projects/rendering/modelling-objects-for-unity-mobile/
Improve my google adwords campaign                            ,/projects/internet-marketing/improve-google-adwords-campaign/
Email Address Verifier                            ,/projects/php/email-address-verifier-16906520/
Fix phpmyadmin & Curl after updating CURL on Godaddy VPS CPANEL                            ,/projects/php/fix-phpmyadmin-curl-after-updating/
Reinstall/Reactivate SSH and change ownership of a folder                            ,/projects/php/reinstall-reactivate-ssh-change/
Project for Code Wolves LLC.                            ,/projects/graphic-design/project-for-code-wolves-llc-16324418/
Project for Smartinfosys                            ,/projects/graphic-design/project-for-smartinfosys-16324406/
Project for Michael T.                            ,/projects/graphic-design/project-for-michael-16324397/
Need Website developer for Tournaments                            ,/projects/php/need-website-developer-for-tournaments/
Need Wordpress Expert to send user registration informations by e.mail                            ,/projects/wordpress/need-wordpress-expert-send-user/
Design a Souncloud Poster                            ,/projects/graphic-design/design-souncloud-poster/
Need Wordpress Expert to send user registration informations by email                            ,/projects/php/need-wordpress-expert-send-user/
product design                            ,/contest/product-design-1258746.html
Email Deliverability Server Settings and Spam Prevention                            ,/projects/amazon-web-services/email-deliverability-server-settings/
Script for lawyer                            ,/projects/php/script-for-lawyer/
Script for lawyers                            ,/projects/php/script-for-lawyers/
Simple iOS app to capture and upload images to a backend with simple image processing python code (repost)                            ,/projects/mobile-phone/simple-ios-app-capture-upload-16260734/
Create Packaging Designs                            ,/contest/create-packaging-designs-1251273.html
On Page and Off Page SEO Feb18                            ,/projects/articles/page-off-page-seo-feb/
Find leads on Facebook or other social media                            ,/projects/internet-marketing/find-leads-facebook-other-social/
Write some software                            ,/projects/software-architecture/write-some-software-16226285/
Simple iOS app to capture and upload images to a backend with simple image processing python code                            ,/projects/mobile-phone/simple-ios-app-capture-upload/
Design and Coding to be developed in Java that will include a two-tier client-server model specified application and communication protocol                            ,/projects/software-architecture/design-coding-developed-java-that/
Project for Yin S.                            ,/projects/php/project-for-yin-16212319/
UX/UI for one screen and the winner will be hired for the rest of the app screens                            ,/contest/uxui-for-one-screen-and-the-winner-will-be-hired-for-the-rest-of-the-app-screens-1244040.html
Twilio/Dialogflow (Api V2)/Node.js                            ,/projects/javascript/twilio-dialogflow-api-node/
Project for Priyank B.                            ,/projects/php/project-for-priyank-16186485/
Project for Lan H.                            ,/projects/internet-marketing/project-for-lan-16183613/
I Would Like To Hire A 3D Modeler To Stick With Us Until The End Of The Development Of ARQ                            ,/projects/threed-modelling/would-like-hire-modeler-stick/
Hospital Room VR                            ,/projects/unity-3d/hospital-room/
ethereum ico                            ,/projects/graphic-design/ethereum-ico/
Project for evadevlopers -- 18/01/24 02:10:46                            ,/projects/graphic-design/project-for-evadevlopers-16142740/
503 server error                            ,/projects/php/server-error/
Part Time Bench Break/Fix Tech                            ,/projects/assembly/part-time-bench-break-fix/
URGENT Update Last Year Sponsor Package File with this Years logo and text                            ,/contest/urgent-update-last-year-sponsor-package-file-with-this-years-logo-and-text-1236292.html
Looking for an auditor company secretary or chartered account to carry out due diligence on two small-mid sized companies for merger -- 3                            ,/projects/accounting/looking-for-auditor-company-secretary-16128255/
Mobile App for iOS and Android                            ,/projects/php/mobile-app-for-ios-android-16125057/
I need an Ionic2 coder                            ,/projects/angular-js/need-ionic-coder/
"Build the school game ""assassin""                            ",/projects/php/build-the-school-game-assassin/
HR management system with GPS attendance                            ,/projects/php/management-system-with-gps-attendance/
Create Script to Pull Table Plus Filter Data To Display Coaches Who Ended Jobs In 2016 and 2017                            ,/projects/php/create-script-pull-table-plus/
Looking for an experienced video editor for some quick post-production editing (removing/replacing a background)                             ,/projects/video-services/looking-for-experienced-video-editor-16082898/
Project for Abbas (Rebuild my TRADING website DATABASE) - Codeigniter                            ,/projects/codeigniter/project-for-abbas-rebuild-trading/
AutoCAD Design                            ,/projects/autocad/autocad-design-16062072/
Project for Jacqueline T. -- 3                            ,/projects/articles/project-for-jacqueline-16058061/
Private project or contest #1227623                            ,/login?goto=NTFiMTk1MWFlY2YwYjRiMmIzOTAwOTkxMjA1ZTRkZWRodHRwczovL3d3dy5mcmVlbGFuY2VyLmNvbS9jb250ZXN0Ly0xMjI3NjIzLmh0bWw
Rails developer with great UI/UX skills for a private practice planner for therapists                            ,/projects/graphic-design/rails-developer-with-great-skills/
asian handicap betexplorer betting script to save and archive results and calculate win/lose ratio every day                             ,/projects/php/asian-handicap-betexplorer-betting/
Extend A WordPress Plugin Sorting Criteria                            ,/projects/php/extend-wordpress-plugin-sorting-criteria/
Create Additional WordPress Sorting Criteria To Plugin                            ,/projects/php/create-additional-wordpress-sorting/
Needed Freelancer in Indonesia For PAPI Research Study                             ,/projects/marketing/needed-freelancer-indonesia-for-papi/
Write New SEO friendly website content                             ,/projects/articles/write-new-seo-friendly-website/
Need a online designing functionality for Doors and Windows using Angular 2 framework HTML5 Canvas and CSS3                            ,/projects/javascript/need-online-designing-functionality-for/
website SEO                            ,/projects/internet-marketing/website-seo-16005147/
Mobile apps for an Events Management Company                            ,/projects/mobile-phone/mobile-apps-for-events-management/
App Design                            ,/projects/mobile-phone/app-design-16703956/
Design a datalogger for a specific application                            ,/contest/design-a-datalogger-for-a-specific-application-1305301.html
Design a Women's T-Shirt for a Christian Apparel Company                            ,/contest/design-a-womens-tshirt-for-a-christian-apparel-company-1305153.html
Integrate a Javascript popup with 2 functions                            ,/projects/php/integrate-javascript-popup-with/
Adventure Farm Tour Guide Android App                            ,/projects/mobile-phone/adventure-farm-tour-guide-android/
Fix my exiting social network site in Wordpress                            ,/projects/php/fix-exiting-social-network-site-16665245/
Fix my exiting social network site                            ,/projects/php/fix-exiting-social-network-site/
Project for Muhammad Naveed A. -- 2                            ,/projects/php/project-for-muhammad-naveed/
Interaction Log for Apple Watch                            ,/projects/ios-development/interaction-log-for-apple-watch/
"Need someone to proof read and make my ""blog"" post for my knew photography website better and making it sound more creative/professional                            ",/projects/english-us/need-someone-proof-read-make/
Bridge 2 TCP Servers                            ,/projects/c-programming/bridge-tcp-servers/
Tensorflow object recognition                            ,/projects/electronics/tensorflow-object-recognition/
Tensorflow Object Recognition and Raspberry Pi 3                            ,/projects/python/tensorflow-object-recognition-raspberry/
Private project or contest #1296497                            ,/login?goto=OGQ0MDlhOGU5ZWZmMmNmMjg1MWZkMDRlYWEyMDAxZDlodHRwczovL3d3dy5mcmVlbGFuY2VyLmNvbS9jb250ZXN0Ly0xMjk2NDk3Lmh0bWw
Double Ended Stack in C                            ,/projects/c-programming/double-ended-stack/
Provide filament length from STL                            ,/projects/programming/provide-filament-length-from-stl/
Bit to Byte padding conversion Python to Kotlin                            ,/projects/java/bit-byte-padding-conversion-python/
Project for Ahmed M. -- 18/04/01 16:04:23                            ,/projects/engineering/project-for-ahmed-16604741/
Writer for a biography                            ,/projects/ghostwriting/writer-for-biography/
Understanding the IT industry                            ,/projects/content-writing/understanding-the-industry/
Workorder Database                            ,/projects/sql/workorder-database/
Troubleshooting                            ,/projects/php/troubleshooting-16585935/
Online Interactive Proposal                            ,/projects/graphic-design/online-interactive-proposal/
I need a logo designer                            ,/projects/logo-design/need-logo-designer-16585062/
I would like to hire a WooCommerce Expert                            ,/projects/data-entry/would-like-hire-woocommerce-expert/
SEO and Google Adwords                            ,/projects/internet-marketing/seo-google-adwords-16580226/
SEO for ICO and Cryptocurrency project                            ,/projects/internet-marketing/seo-for-ico-cryptocurrency-project/
data structures                            ,/projects/software-architecture/data-structures-16578818/
Fix a php error in Wordpress                            ,/projects/php/fix-php-error-wordpress/
Website classification                            ,/projects/excel/website-classification/
Digital Electronics                            ,/projects/electrical-engineering/digital-electronics-16565216/
dunnGrowingChild                            ,/projects/php/dunngrowingchild/
computer service clientele                            ,/projects/technical-writing/computer-service-clientele/
[Urgent] Need 5 eBooks in 5 Days                            ,/projects/content-writing/urgent-need-ebooks-days/
Need 5 eBooks in 5 Days                            ,/projects/content-writing/need-ebooks-days/
Make podcast sound better                            ,/projects/translation/make-podcast-sound-better/
Mining Technologies Research Fellowship/Consultancy                             ,/projects/logo-design/mining-technologies-research-fellowship-16539484/
Fix broken yum and easyapache4 on cpanel                            ,/projects/software-architecture/fix-broken-yum-easyapache-cpanel/
Beauty is grey !                            ,/projects/articles/beauty-grey/
Project for Jakub A. -- 2                            ,/projects/php/project-for-jakub-16521733/
SOLVING ISSUES ON A NATIVE APP CONNECTED TO THE WORDPRESS WOOCOMMERCE SITE                            ,/projects/php/solving-issues-native-app-connected/
Fix some issues in WPML                            ,/projects/php/fix-some-issues-wpml/
Adult Coloring Book of Execution: The Brazen Bull                            ,/contest/adult-coloring-book-of-execution-the-brazen-bull-1283178.html
Project for Jakub A.                            ,/projects/php/project-for-jakub-16495214/
Project for Expert T.                            ,/projects/php/project-for-expert-16495088/
Design data architecture for project integrating various structured datasets                            ,/projects/r/design-data-architecture-for-project/
Kiosk client payment software retail spa rental Write some software                            ,/projects/software-architecture/kiosk-client-payment-software-retail/
Helpdesk Engineer                            ,/projects/system-admin/helpdesk-engineer/
Small program in java using double queue( must finish it in one day)                            ,/projects/software-architecture/small-program-java-using-double/
DQueue methods and stack                             ,/projects/java/dqueue-methods-stack/
Content writer                            ,/projects/articles/content-writer-16444945/
Build me an android app                            ,/projects/php/build-android-app-16440511/
Logotype for IT consulting company                            ,/contest/logotype-for-it-consulting-company-1274320.html
Looking for name and logo for new trailer repair/additions company                            ,/contest/looking-for-name-and-logo-for-new-trailer-repairadditions-company-1273431.html
Project for Ribon E.                            ,/projects/graphic-design/project-for-ribon/
Project for Md Shariful I. -- 2                            ,/projects/graphic-design/project-for-shariful-16420972/
Online Payroll System                            ,/projects/php/online-payroll-system-16417073/
Project for Nandini G.                            ,/projects/graphic-design/project-for-nandini-16409742/
Modificar linea de código javascript                            ,/projects/php/modificar-linea-digo-javascript/
The Russian Revolution (Essay)                            ,/projects/essay-writing/the-russian-revolution-essay/
Need Carwash Scheduling Based App for Both IOS and Android And Backend                            ,/projects/php/need-carwash-scheduling-based-app/
Project for Diego S.                            ,/projects/banner-design/project-for-diego/
Lottory website and application.                            ,/projects/graphic-design/lottory-website-application/
Need 17 line script fixed for auto clicking a link whenever a new entry is added to a table on a website.                            ,/projects/html/need-line-script-fixed-for/
Build me a Native Android App                            ,/projects/php/build-native-android-app/
We Need A Programmer That Is Willing To Stay With Us Until The End Of The Development Of ARQ                            ,/projects/programming/need-programmer-that-willing-stay/
Project for manubrio1                            ,/projects/autocad/project-for-manubrio/
school law interview                            ,/projects/copywriting/school-law-interview/
Custom Online store                            ,/projects/php/custom-online-store/
Project for Code Wolves LLC.                            ,/projects/graphic-design/project-for-code-wolves-llc-16324418/
Project for Smartinfosys                            ,/projects/graphic-design/project-for-smartinfosys-16324406/
Project for Michael T.                            ,/projects/graphic-design/project-for-michael-16324397/
Need Website developer for Tournaments                            ,/projects/php/need-website-developer-for-tournaments/
Need Wordpress Expert to send user registration informations by e.mail                            ,/projects/wordpress/need-wordpress-expert-send-user/
Design a Souncloud Poster                            ,/projects/graphic-design/design-souncloud-poster/
Need Wordpress Expert to send user registration informations by email                            ,/projects/php/need-wordpress-expert-send-user/
product design                            ,/contest/product-design-1258746.html
Email Deliverability Server Settings and Spam Prevention                            ,/projects/amazon-web-services/email-deliverability-server-settings/
Script for lawyer                            ,/projects/php/script-for-lawyer/
Change sorting order of campaigns                             ,/projects/php/change-sorting-order-campaigns/
Build a website/blog                            ,/projects/graphic-design/build-website-blog-14374680/
Sales and Marketing                            ,/projects/leads/sales-marketing-14361460/
A software to keep monitor mutli eBay item status.                            ,/projects/software-architecture/software-keep-monitor-mutli-ebay/
template strange                            ,/projects/graphic-design/template-strange/
Hire a Designer                            ,/projects/graphic-design/hire-designer-14346569/
World war 1.                            ,/projects/research-writing/world-war/
Make a Video                            ,/projects/video-services/make-video-14311053/
Do some Blog Posting                             ,/projects/blog/some-blog-posting-14307921/
eBay API items sold connected to OpenCart Website                            ,/projects/php/ebay-api-items-sold-connected/
Freelance Recruitment Consultant                            ,/projects/english-uk/freelance-recruitment-consultant/
Web development -- 2                            ,/projects/graphic-design/web-development-14207477/
sportsbook                            ,/projects/bitcoin/sportsbook/
Create/Manage a  PPC Campaign  -- 2                            ,/projects/internet-marketing/create-manage-ppc-campaign-14198270/
Create/Manage a  PPC Campaign                             ,/projects/internet-marketing/create-manage-ppc-campaign-14193336/
Taxation Law and Practice                            ,/projects/tax-law/taxation-law-practice-14184521/
Fix some PHP code (no framework) that uses the Gmail API -- 6                            ,/projects/php/fix-some-php-code-framework-14184090/
Fix some PHP code (no framework) that uses the Gmail API -- 5                            ,/projects/php/fix-some-php-code-framework-14179593/
Fix some PHP code (no framework) that uses the Gmail API -- 4                            ,/projects/php/fix-some-php-code-framework-14179010/
Fix some PHP code (no framework) that uses the Gmail API -- 3                            ,/projects/php/fix-some-php-code-framework-14178990/
Fix some PHP code (no framework) that uses the Gmail API -- 2                            ,/projects/php/fix-some-php-code-framework-14178911/
Fix some PHP code (no framework) that uses the Gmail API                            ,/projects/php/fix-some-php-code-framework/
Infographic timeline                             ,/projects/graphic-design/infographic-timeline-14171547/
SEO my Website                             ,/projects/internet-marketing/seo-website-14170681/
Different types of timelines and illustrations.                             ,/projects/graphic-design/different-types-timelines-illustrations/
SEO my Website                            ,/projects/internet-marketing/seo-website-14132619/
一篇关于金融市场预测分析的商业报告                            ,/projects/data-entry/project-14113189/
Hire a Logo Designer                            ,/projects/graphic-design/hire-logo-designer-14105503/
Dexon Audio Message Player                            ,/projects/android-wear/dexon-audio-message-player/
Front end for Database display on CRM- php on Codeigniter                             ,/projects/php/front-end-for-database-display/
Design a Logo                            ,/projects/graphic-design/design-logo-14097846/
Project for karunakartiwari                            ,/projects/php/project-for-karunakartiwari-14093076/
Partnership for a dating script -- 2                            ,/projects/graphic-design/partnership-for-dating-script-14093045/
Partnership for a dating script                            ,/projects/graphic-design/partnership-for-dating-script-14093028/
Partnership for a dating script                            ,/projects/graphic-design/partnership-for-dating-script/
Build a Website                             ,/projects/graphic-design/build-website-14092670/
Project for dinhbang19                            ,/projects/php/project-for-dinhbang-14092364/
Project for Chitanok                            ,/projects/php/project-for-chitanok-14092359/
Project for ervivekit                            ,/projects/php/project-for-ervivekit-14092325/
Python- Loops data csv                            ,/projects/python/python-loops-data-csv/
SEO my Website                            ,/projects/internet-marketing/seo-website-14073897/
update php code                            ,/projects/php/update-php-code-14066284/
SEO my Website                            ,/projects/internet-marketing/seo-website-14062795/
Project for farzana1994                            ,/projects/graphic-design/project-for-farzana-14058436/
Find an Accountant                             ,/projects/accounting/find-accountant-14053003/
Hire someone to do java project                            ,/projects/java/hire-someone-java-project/
small script to record phone calls                            ,/projects/php/small-script-record-phone-calls/
Design project                            ,/projects/rendering/design-project-14035845/
Make some modifications to a WordPress theme                            ,/projects/php/make-some-modifications-wordpress-theme-14035252/
Hire a Programmer                            ,/projects/website-design/hire-programmer-14033198/
folded-cascode (cadence)                            ,/projects/electrical-engineering/folded-cascode-cadence/
Wordpress Plugin Customization - open to bidding                            ,/projects/graphic-design/wordpress-plugin-customization-open/
Private project or contest #13979466                            ,/login?goto=ZGY5YzFjZTY3OWY4MThjNDQ5OGZkODFjYzc4Njg0MTNodHRwczovL3d3dy5mcmVlbGFuY2VyLmNvbS9wcm9qZWN0cy8xMzk3OTQ2Ni5odG1s
Wordpress Plugin Customization                            ,/projects/graphic-design/wordpress-plugin-customization-13990600/
Write some Software                             ,/projects/php/write-some-software-13990117/
Build a Website                             ,/projects/graphic-design/build-website-13986456/
multi currency functionality                            ,/projects/php/multi-currency-functionality/
Modify Existing Website + Brochure + Business Card                            ,/projects/php/modify-existing-website-brochure/
Chrome extension that detects when a Hangouts call is taking place                            ,/projects/javascript/chrome-extension-that-detects-when/
Help with Recruitment                            ,/projects/recruitment/help-with-recruitment-13956032/
AutoHotkey script to notify when Google Hangouts call is active                            ,/projects/cplusplus-programming/autohotkey-script-notify-when-google/
Write a book about my life story.                            ,/projects/copywriting/write-book-about-life-story/
improve website - 05/05/2017 08:55 EDT                            ,/projects/graphic-design/improve-website-edt/
Consulting On Contest Application Setup -- 2                            ,/projects/php/consulting-contest-application-setup-13919590/
I would like to hire an Accountant                            ,/projects/accounting/would-like-hire-accountant-13917611/
I would like to hire an Excel Expert                            ,/projects/php/would-like-hire-excel-expert-13912814/
Consulting On Contest Application Setup - open to bidding                            ,/projects/php/consulting-contest-application-setup-13912784/
Business Accounting and Legal                            ,/projects/contracts/business-accounting-legal-13909188/
Hire a Web Developer                            ,/projects/html/hire-web-developer-13907850/
System Analysis                            ,/projects/research-writing/system-analysis/
I need someone to proof read my dissertation project for my doctoral degree                            ,/projects/proofreading/need-someone-proof-read-dissertation/
Consulting On Contest Application Setup                            ,/projects/php/consulting-contest-application-setup/
Veeam Backup Corrupted - Data Recovery - Veeam Expert                            ,/projects/system-admin/veeam-backup-corrupted-data-recovery/
Project for rajenranpara                            ,/projects/java/project-for-rajenranpara/
website and game in Wordpress based on pacman multiplayer  -- 2                            ,/projects/graphic-design/website-game-wordpress-based-pacman-13867958/
Looking for a Joomla / SEO expert to help completey revamp website and do onsite SEO for my website.                            ,/projects/html/looking-for-joomla-seo-expert/
website and game in Wordpress based on pacman multiplayer                             ,/projects/graphic-design/website-game-wordpress-based-pacman/
Sure Winner Logo                            ,/contest/sure-winner-logo-1010564.html
Build a multiplayer Pacman game with Bitcoin API and other payment methods                            ,/projects/php/build-multiplayer-pacman-game-with/
billing ordering delivery pos  app for windows pc  android and iphone                            ,/projects/android/billing-ordering-delivery-pos-app/
Build a game with Bitcoin API and other payment methods -- 3                            ,/projects/php/build-game-with-bitcoin-api-13841539/
Build a game with Bitcoin API and other payment methods -- 2                            ,/projects/php/build-game-with-bitcoin-api-13841481/
Build a game with Bitcoin API and other payment methods                            ,/projects/php/build-game-with-bitcoin-api/
Web development                            ,/projects/graphic-design/web-development-13833282/
Project for veljkogolocorbin                            ,/projects/rendering/project-for-veljkogolocorbin-13811413/
Design of Exhaust Heat Recovery Power  Generation System Using Thermo-Electric  Generator                            ,/projects/mechanical-engineering/design-exhaust-heat-recovery-power/
SEO e OPTIMIZER  WEB SITE                             ,/projects/php/seo-optimizer-web-site/
Research Writing                             ,/projects/research-writing/research-writing-13784479/
Project for Abhishek92Kumar                            ,/projects/excel/project-for-abhishek-kumar-13781593/
Marketplace Onion                            ,/projects/graphic-design/marketplace-onion/
Name and Logo for Subscription Box Company                            ,/contest/name-and-logo-for-subscription-box-company-1001633.html
Write an iPhone application.                            ,/projects/mobile-phone/write-iphone-application-13772850/
Write an iPhone application                             ,/projects/mobile-phone/write-iphone-application-13772787/
General Trascription                            ,/projects/english-us/general-trascription/
Project for licarto                            ,/projects/graphic-design/project-for-licarto-13756142/
Add forms to an existing local website and store responses locally                            ,/projects/php/add-forms-existing-local-website/
movie                            ,/projects/video-services/movie-13745154/
Fix a Broken WordPress Theme and Missing Sidebar                            ,/projects/php/fix-broken-wordpress-theme-missing/
SMall piece of JavaScript / .NET code                            ,/projects/javascript/small-piece-javascript-net-code/
Hire a Virtual Assistant for Blog Comment                            ,/projects/virtual-assistant/hire-virtual-assistant-for-blog/
Private project or contest #15984974                            ,/login?goto=NjMzNDYxMWQ1YThjNjNiOTgyMzU5MWE4YzM5NDBhZjRodHRwczovL3d3dy5mcmVlbGFuY2VyLmNvbS9wcm9qZWN0cy8xNTk4NDk3NC5odG1s
JavaScript Exam Due Date Monday 1st at 11:30pm                            ,/projects/php/javascript-exam-due-date-monday/
a custom webview in IOS                            ,/projects/iphone/custom-webview-ios/
Help me write something                            ,/projects/articles/help-write-something-15940444/
Project for Gor G.                            ,/projects/php/project-for-gor-15928593/
Professionally written CV or Resume LinkedIn Profile and a Cover Letter                            ,/projects/copywriting/professionally-written-resume-linkedin/
Compiling Gamefile                            ,/projects/cplusplus-programming/compiling-gamefile/
Transcribe Bank Statement into Excel                            ,/projects/excel/transcribe-bank-statement-into-excel/
Build a updated version of a program (reverse engineering from an old version that no longer works after game update)                            ,/projects/programming/build-updated-version-program-reverse/
