P_index,P_url,P_heading,P_ID,P_Status,P_Awarded,P_Budget,P_Repeat,P_Skill,P_Skills_Number,P_Rating,P_Reviews,P_location,P_country,P_income_group,P_selected_rank_tatol,P_fcers_selected,P_selected_rank_average,P_fcers_applying_total,P_selection_accuracy,F_Country_Match
74,https://www.freelancer.com/projects/rendering/modelling-objects-for-unity-mobile/,Modelling 3D Objects for Unity mobile game. (Need talented designers!), #16943743,Completed,1,$1500-3000 USD,5,"3D Design,3D Modelling,3D Rendering,Game Design,Unity 3D",5,4.9,111,"Tecumseh, Canada",Canada,High income,20,1,20,21,0.095238095,0
75,https://www.freelancer.com/projects/internet-marketing/improve-google-adwords-campaign/,Improve my google adwords campaign, #16923056,In Progress,1,$30-250 USD,5,"Advertising,Google Adwords,Internet Marketing,Link Building,SEO",5,5,2,"Simpsonville, United States",United States,High income,20,1,20,21,0.095238095,0
77,https://www.freelancer.com/projects/php/fix-phpmyadmin-curl-after-updating/,Fix phpmyadmin & Curl after updating CURL on Godaddy VPS CPANEL, #16903032,Completed,1,$30-250 USD,5,"Apache,Linux,MySQL,PHP,System Admin",5,5,19,"San Diego, United States",United States,High income,3,1,3,16,0.875,0
78,https://www.freelancer.com/projects/php/reinstall-reactivate-ssh-change/,Reinstall/Reactivate SSH and change ownership of a folder, #16896993,Completed,1,$10-30 USD,5,"Apache,Linux,PHP,System Admin,Ubuntu",5,5,5,"cacun, Mexico",Mexico,Upper middle income,1,1,1,3,1,0
80,https://www.freelancer.com/projects/articles/research-creative-writing-with-photos/,Research and creative writing with photos. - 01/05/2018 23:09 EDT, #16856548,Completed,1,$30-250 SGD,5,"Article Writing,Ghostwriting,Python,Research,Research Writing",5,4.9,8,"Singapore, Singapore",Singapore,High income,8,1,8,21,0.666666667,0
86,https://www.freelancer.com/projects/php/add-new-item-sheets-when/,Add new item in sheets when a woocommerce order status is triggered ($15), #17557881,Completed,1,$10-15 USD,5,"CSS,HTML,MySQL,PHP,WordPress",5,5,9,"newcastle upontyne`, United Kingdom",United Kingdom,High income,4,1,4,14,0.785714286,0
87,https://www.freelancer.com/projects/programming/open-source-developers/,Open Source Developers, #17544994,In Progress,1,$30-250 USD,5,Programming,1,5,4,"Copenhagen, Denmark",Denmark,High income,2,1,2,2,0.5,0
89,https://www.freelancer.com/projects/logo-design/logo-designer-for-alternative-hair/,Logo Designer for Alternative Hair Salon, #17508499,Completed,1,$30-250 USD,0,"Business Cards,Logo Design",2,0,0,Australia,Australia,High income,18,1,18,21,0.19047619,0
90,https://www.freelancer.com/projects/software-architecture/open-source-developer-wanted-for/,Open Source Developer wanted for interview, #17469792,Completed,1,$30-250 USD,5,"Article Writing,C Programming,Javascript,Software Architecture",4,5,4,"Copenhagen, Denmark",Denmark,High income,8,1,8,8,0.125,0
92,https://www.freelancer.com/projects/graphic-design/vedio-chatting-website-for-lessons/,vedio chatting website for lessons, #17440626,In Progress,1,$250-750 USD,0,"Graphic Design,HTML,PHP,Website Design,WordPress",5,0,0,Israel,Israel,High income,21,1,21,21,0.047619048,0
95,https://www.freelancer.com/projects/video-services/cut-promo-video-for-gps/,Re-cut promo video for GPS product, #17419897,Completed,1,$30-250 USD,5,"After Effects,Video Editing,Video Production,Video Services,Videography",5,4.8,31,"Singapore, Singapore",Singapore,High income,2,1,2,9,0.888888889,0
98,https://www.freelancer.com/projects/graphic-design/business-card-require-redone/,business card require redone, #17375881,Completed,1,$10-30 AUD,0,"Business Cards,Graphic Design,Illustrator,Logo Design,Photoshop",5,5,2,"kingsford, Australia",Australia,High income,21,1,21,21,0.047619048,0
99,https://www.freelancer.com/projects/articles/turn-personal-narratives-senior-citizens/,Turn personal narratives of senior citizens into readable stories 3 pages long., #17373815,Completed,3,$30-250 USD,0,"Article Writing,Content Writing,Copywriting,Editing,Ghostwriting",5,0,0,United States,United States,High income,56,3,18.66666667,23,0.231884058,0
103,https://www.freelancer.com/projects/software-architecture/long-sql-not-running-python/,Long SQL not running in python, #17331856,Completed,1,$10-30 CAD,0,"Database Administration,MySQL,Python,Software Architecture,SQL",5,5,4,"Hamilton, Canada",Canada,High income,4,1,4,18,0.833333333,0
105,https://www.freelancer.com/projects/graphic-design/very-fast-adobe-indesign-work/,VERY fast Adobe InDesign Work needed, #17314514,Completed,1,$10-30 USD,5,"Adobe InDesign,Brochure Design,Graphic Design,Illustrator,Photoshop",5,5,21,"Brooklyn, United States",United States,High income,1,1,1,8,1,0
107,https://www.freelancer.com/projects/graphic-design/find-matches-wordpress-website/,find matches on my Wordpress website, #17303068,In Progress,1,€8-30 EUR,5,"Graphic Design,HTML,PHP,Website Design,WordPress",5,4.9,6,"Münster, Germany",Germany,High income,11,1,11,20,0.5,0
113,https://www.freelancer.com/projects/graphic-design/build-website-for-customized-video/,Build a website for a customized video gallery and database, #17268563,In Progress,1,$30-250 USD,1,"Graphic Design,HTML,MySQL,PHP,Website Design",5,0,0,"Stockholm, Sweden",Sweden,High income,2,1,2,21,0.952380952,0
115,https://www.freelancer.com/projects/php/need-master-wordpress-php/,Need a master in wordpress and php, #17262039,Cancelled,1,$30-250 USD,5,"Javascript,MySQL,PHP,WordPress",4,5,16,"M, Russian Federation",Russian Federation,Upper middle income,7,1,7,21,0.714285714,0
117,https://www.freelancer.com/projects/email-handling/help-with-email-godaddy-integration/,Help with email/godaddy integration, #17249553,Completed,1,$10-30 USD,5,"Email Handling,Google Webmaster Tools",2,5,3,"Big Bear Lake, United States",United States,High income,4,1,4,7,0.571428571,0
118,https://www.freelancer.com/projects/graphic-design/edits-the-website-www-ubiquityrobotics/,Edits to the website [login to view URL], #17226125,In Progress,1,$250-750 USD,0,"Graphic Design,HTML,PHP,Website Design",4,0,0,United States,United States,High income,7,1,7,21,0.714285714,0
122,https://www.freelancer.com/projects/graphic-design/youtube-intro-ended-last-intro/,youtube intro and ended last intro and logo, #17176761,Completed,1,₹600-1500 INR,1,"After Effects,Graphic Design,Logo Design,Photoshop,Video Editing",5,0,0,"lucknow, India",India,Lower middle income,4,1,4,9,0.666666667,1
124,https://www.freelancer.com/projects/excel/analyse-data-spss/,analyse data in SPSS, #17174080,Completed,1,￥80-200 CNY,0,"Data Processing,Excel,SPSS Statistics,Statistical Analysis,Statistics",5,0,0,China,China,Upper middle income,2,1,2,21,0.952380952,0
130,https://www.freelancer.com/projects/html/build-webcrawler-for-icobench-com/,Build me a webcrawler for [login to view URL], #17098379,Completed,1,$30-250 USD,0,"HTML,Python,Web Scraping",3,0,0,Germany,Germany,High income,5,1,5,6,0.333333333,0
132,https://www.freelancer.com/projects/autocad/design-development-architecture-for/,Design Development (Architecture) for Development Application, #17063423,In Progress,1,$30-250 AUD,5,"AutoCAD,Building Architecture,Drafting,Home Design,Interior Design",5,5,14,"Mayfield, Australia",Australia,High income,11,1,11,21,0.523809524,0
138,https://www.freelancer.com/projects/illustrator/draw-fantasy-map-for-novel/,Draw a Fantasy Map for Novel, #17022043,In Progress,1,$30-250 USD,2,"Book Artist,Cartography & Maps,Illustration,Illustrator",4,4.8,1,"Dubai, United Arab Emirates",United Arab Emirates,High income,16,1,16,17,0.117647059,0
145,https://www.freelancer.com/projects/data-entry/list-apartments-our-site/,Hire a Virtual Assistant to publish 250 apartments, #16989053,Completed,1,$10-30 USD,5,"Copy Typing,Data Entry,Virtual Assistant",3,5,23,"Valencia, Spain",Spain,High income,19,1,19,21,0.142857143,0
146,https://www.freelancer.com/projects/graphic-design/design-mobile-app-screens-based-16980816/,Design Mobile App Screens (Based on Perfect Mockups), #16980816,Completed,1,$10-45 USD,5,"Graphic Design,Icon Design,Illustrator,Logo Design,Photoshop",5,4.9,442,"Princess Anne, United States",United States,High income,4,1,4,21,0.857142857,0
147,https://www.freelancer.com/projects/c-programming/shell-linux/,shell linux, #16976342,Completed,1,€8-30 EUR,0,"C Programming,Linux,Shell Script",3,0,0,Poland,Poland,High income,2,1,2,21,0.952380952,0
152,https://www.freelancer.com/projects/graphic-design/complex-sewing-patterns-for-clothing/,3 complex sewing patterns for my clothing brand, #16951560,Completed,1,$30-250 CAD,2,"Graphic Design,Illustrator,Photoshop,Photoshop Design,T-Shirts",5,5,1,"brampton, Canada",Canada,High income,9,1,9,13,0.384615385,0
154,https://www.freelancer.com/projects/rendering/modelling-objects-for-unity-mobile/,Modelling 3D Objects for Unity mobile game. (Need talented designers!), #16943743,Completed,1,$1500-3000 USD,5,"3D Design,3D Modelling,3D Rendering,Game Design,Unity 3D",5,4.9,111,"Tecumseh, Canada",Canada,High income,20,1,20,21,0.095238095,0
155,https://www.freelancer.com/projects/internet-marketing/improve-google-adwords-campaign/,Improve my google adwords campaign, #16923056,In Progress,1,$30-250 USD,5,"Advertising,Google Adwords,Internet Marketing,Link Building,SEO",5,5,2,"Simpsonville, United States",United States,High income,20,1,20,21,0.095238095,0
157,https://www.freelancer.com/projects/php/fix-phpmyadmin-curl-after-updating/,Fix phpmyadmin & Curl after updating CURL on Godaddy VPS CPANEL, #16903032,Completed,1,$30-250 USD,5,"Apache,Linux,MySQL,PHP,System Admin",5,5,19,"San Diego, United States",United States,High income,3,1,3,16,0.875,0
158,https://www.freelancer.com/projects/php/reinstall-reactivate-ssh-change/,Reinstall/Reactivate SSH and change ownership of a folder, #16896993,Completed,1,$10-30 USD,5,"Apache,Linux,PHP,System Admin,Ubuntu",5,5,5,"cacun, Mexico",Mexico,Upper middle income,1,1,1,3,1,0
160,https://www.freelancer.com/projects/articles/research-creative-writing-with-photos/,Research and creative writing with photos. - 01/05/2018 23:09 EDT, #16856548,Completed,1,$30-250 SGD,5,"Article Writing,Ghostwriting,Python,Research,Research Writing",5,4.9,8,"Singapore, Singapore",Singapore,High income,8,1,8,21,0.666666667,0
164,https://www.freelancer.com/projects/mysql/build-small-desktop-application-for/,Build me a small desktop application for university project, #16786541,Completed,1,€8-30 EUR,0,"Java,MySQL",2,4,1,"foiusanidnap, Romania",Romania,Upper middle income,6,1,6,8,0.375,0
167,https://www.freelancer.com/projects/graphic-design/make-modification-resume/,Make a modification to my Resume, #16180035,Completed,1,$30-250 USD,5,"Brochure Design,Design,Graphic Design,PDF,Photoshop Design",5,4.9,43,"Tampa, United States",United States,High income,8,1,8,21,0.666666667,0
168,https://www.freelancer.com/projects/php/build-wordpress-website-adult-content/,Build a Wordpress Website (Adult Content), #16765398,Completed,1,$30-250 USD,1,"Graphic Design,HTML,PHP,Website Design,WordPress",5,0,0,United States,United States,High income,8,1,8,21,0.666666667,0
169,https://www.freelancer.com/projects/graphic-design/want-get-illustration-completed/,I want to get an illustration completed, #16751064,Completed,1,₹600-1500 INR,1,"Caricature & Cartoons,Graphic Design,Illustration,Illustrator,Photoshop",5,5,1,"Bengaluru, India",India,Lower middle income,9,1,9,19,0.578947368,1
171,https://www.freelancer.com/projects/electrical-engineering/egg-incubator-thermostat-controller/,"Egg incubator thermostat controller - finish design and firmware and final testing, troubleshooting", #16747649,In Progress,1,$250-750 USD,5,"Circuit Design,Electrical Engineering,Electronics,Microcontroller,PCB Layout",5,4.4,7,"Fruitland, United States",United States,High income,7,1,7,15,0.6,0
172,https://www.freelancer.com/projects/video-editing/cut-merge-videos-from-our/,Cut and merge 3 videos from our suppliers into one video, #16739597,Completed,1,$30-250 USD,5,Video Editing,1,5,14,"Lindesnes, Norway",Norway,High income,2,1,2,21,0.952380952,0
173,https://www.freelancer.com/projects/graphic-design/graphic-designer-available-for-random/,Graphic Designer available for random small to medium size projects - HOURLY, #16738690,Completed,3,$8-15 USD / hour,5,"Graphic Design,Illustration,Illustrator,Photoshop,Typing",5,5,42,"SPARKS, United States",United States,High income,12,3,4,10,0.7,0
182,https://www.freelancer.com/projects/english-us/need-someone-proof-read-make/,"Need someone to proof read and make my ""blog"" post for my knew photography website better and making it sound more creative/professional", #16649023,Completed,1,$30-250 USD,0,"Creative Writing,English (US),Writing",3,0,0,"Ames, United States",United States,High income,6,1,6,12,0.583333333,0
183,https://www.freelancer.com/projects/c-programming/bridge-tcp-servers/,Bridge 2 TCP Servers, #16644461,In Progress,1,$30-250 AUD,2,"C Programming,Microcontroller,Socket IO",3,0,0,"Epping, Australia",Australia,High income,7,1,7,8,0.25,0
184,https://www.freelancer.com/projects/electronics/tensorflow-object-recognition/,Tensorflow object recognition, #16639658,In Progress,1,$8-15 USD / hour,5,"Arduino,Electronics,Raspberry Pi",3,4.9,31,"Singapore, Singapore",Singapore,High income,1,1,1,1,1,0
190,https://www.freelancer.com/projects/content-writing/understanding-the-industry/,Understanding the IT industry, #16590647,Completed,1,$30-250 USD,5,"Communications,Content Writing,Research Writing",3,5,54,"Manchester, United Kingdom",United Kingdom,High income,6,1,6,18,0.722222222,0
191,https://www.freelancer.com/projects/sql/workorder-database/,Workorder Database, #16589332,Completed,1,$250-750 USD,5,"Database Development,Database Programming,SQL",3,5,6,"cedar rapids, United States",United States,High income,13,1,13,21,0.428571429,0
194,https://www.freelancer.com/projects/logo-design/need-logo-designer-16585062/,I need a logo designer, #16585062,Completed,1,$30-250 USD,1,Logo Design,1,5,1,"PEKIN, United States",United States,High income,17,1,17,21,0.238095238,0
198,https://www.freelancer.com/projects/software-architecture/data-structures-16578818/,data structures, #16578818,Completed,1,zł30-90 PLN,1,"C Programming,C++ Programming,Software Architecture,Windows Desktop",4,0,0,Poland,Poland,High income,1,1,1,7,1,0
199,https://www.freelancer.com/projects/php/fix-php-error-wordpress/,Fix a php error in Wordpress, #16569955,Completed,1,€30-250 EUR,2,"MySQL,PHP,WordPress",3,0,0,France,France,High income,17,1,17,21,0.238095238,0
200,https://www.freelancer.com/projects/excel/website-classification/,Website classification, #16566073,Completed,1,€30-250 EUR,0,"Excel,Web Search",2,0,0,"Paris, France",France,High income,5,1,5,16,0.75,0
202,https://www.freelancer.com/projects/php/dunngrowingchild/,dunnGrowingChild, #16561530,In Progress,1,$25-50 USD / hour,0,"HTML,Javascript,MySQL,PHP,Software Architecture",5,0,0,"W Lafayette, United States",United States,High income,5,1,5,12,0.666666667,0
203,https://www.freelancer.com/projects/technical-writing/computer-service-clientele/,computer service clientele, #16560593,Completed,1,€30-250 EUR,1,"Excel,Excel Macros,Excel VBA,VB.NET,vBulletin",5,5,1,"pagrati, Greece",Greece,High income,8,1,8,10,0.3,0
207,https://www.freelancer.com/projects/software-architecture/fix-broken-yum-easyapache-cpanel/,Fix broken yum and easyapache4 on cpanel, #16536915,In Progress,1,$2-8 USD / hour,5,"Linux,Python,Software Architecture,System Admin,Ubuntu",5,5,20,"George Town, Cayman Islands",Cayman Islands,High income,1,1,1,4,1,0
214,https://www.freelancer.com/projects/software-architecture/small-program-java-using-double/,Small program in java using double queue( must finish it in one day), #16453385,Completed,1,$10-30 USD,3,"Java,Software Architecture,Windows Desktop",3,5,4,"Riyadh, Saudi Arabia",Saudi Arabia,High income,4,1,4,11,0.727272727,0
215,https://www.freelancer.com/projects/java/dqueue-methods-stack/,DQueue methods and stack , #16452712,Completed,1,$10-30 USD,0,Java,1,0,0,Saudi Arabia,Saudi Arabia,High income,1,1,1,6,1,0
219,https://www.freelancer.com/projects/php/modificar-linea-digo-javascript/,Modificar linea de código javascript, #16399405,Completed,1,€8-30 EUR,5,"HTML,Javascript,PHP",3,5,2,"coruña, Spain",Spain,High income,1,1,1,8,1,1
223,https://www.freelancer.com/projects/html/need-line-script-fixed-for/,Need 17 line script fixed for auto clicking a link whenever a new entry is added to a table on a website., #16368256,Completed,1,$10-30 USD,0,"Google Chrome,HTML,Javascript",3,0,0,United States,United States,High income,3,1,3,4,0.5,0
234,https://www.freelancer.com/projects/mobile-phone/simple-ios-app-capture-upload-16260734/,Simple iOS app to capture and upload images to a backend with simple image processing python code (repost), #16260734,Completed,1,$250-750 AUD,1,"iPhone,Javascript,Mobile App Development,Python,Software Architecture",5,0,0,"ElMansoura, Egypt",Egypt,Lower middle income,17,1,17,20,0.2,0
237,https://www.freelancer.com/projects/software-architecture/write-some-software-16226285/,Write some software, #16226285,Completed,1,$30-250 USD,0,"C Programming,C++ Programming,Software Architecture,Windows Desktop",4,5,1,"Dalton, United States",United States,High income,1,1,1,13,1,0
239,https://www.freelancer.com/projects/software-architecture/design-coding-developed-java-that/,"Design and Coding to be developed in Java that will include a two-tier client-server model, specified application, and communication protocol", #16212848,Completed,1,$30-250 USD,2,"Engineering,Java,Software Architecture",3,5,1,"Davie, United States",United States,High income,1,1,1,11,1,0
242,https://www.freelancer.com/projects/unity-3d/hospital-room/,Hospital Room VR, #16163350,Completed,1,$30-250 USD,3,"Augmented Reality,Unity 3D",2,5,2,"New York, United States",United States,High income,10,1,10,18,0.5,0
244,https://www.freelancer.com/projects/php/server-error/,503 server error, #16141351,Completed,1,$10-30 USD,0,"Linux,Magento,MySQL,PHP,System Admin",5,5,1,"Woodinville, United States",United States,High income,3,1,3,6,0.666666667,0
251,https://www.freelancer.com/projects/php/create-script-pull-table-plus/,Create Script to Pull Table Plus Filter Data To Display Coaches Who Ended Jobs In 2016 and 2017, #16092537,Completed,1,$30-250 USD,5,"Data Entry,Excel,PHP,Software Architecture,Web Scraping",5,5,216,"Tallahassee, United States",United States,High income,14,1,14,21,0.380952381,0
253,https://www.freelancer.com/projects/codeigniter/project-for-abbas-rebuild-trading/,Project for Abbas (Rebuild my TRADING website DATABASE) - Codeigniter, #16075480,In Progress,1,$30-250 USD,5,Codeigniter,1,4.9,8,"AHMAD PUR EAST, Pakistan",Pakistan,Lower middle income,1,1,1,1,1,0
257,https://www.freelancer.com/projects/php/extend-wordpress-plugin-sorting-criteria/,Extend A WordPress Plugin Sorting Criteria, #16037812,Completed,1,$10-60 AUD,0,"CSS,HTML,Javascript,PHP,WordPress",5,0,0,United Kingdom,United Kingdom,High income,1,1,1,4,1,0
260,https://www.freelancer.com/projects/articles/write-new-seo-friendly-website/,Write New SEO friendly website content , #16024623,Completed,1,$30-250 CAD,5,"Article Writing,Content Writing,Copywriting,Ghostwriting,SEO",5,4.9,22,"Ottawa, Canada",Canada,High income,20,1,20,20,0.05,0
265,https://www.freelancer.com/projects/copywriting/professionally-written-resume-linkedin/,"Professionally written CV or Resume, LinkedIn Profile and a Cover Letter", #15913315,In Progress,1,$50-100 CAD,1,"Copywriting,Creative Writing,Editing,Ghostwriting,Resumes",5,0,0,"Montreal, Canada",Canada,High income,16,1,16,20,0.25,0
267,https://www.freelancer.com/projects/excel/transcribe-bank-statement-into-excel/,Transcribe Bank Statement into Excel, #15889364,Completed,1,$30-250 AUD,1,"Data Entry,Data Processing,Excel,Word",4,5,3,"Hughesdale, Australia",Australia,High income,12,1,12,14,0.214285714,0
270,https://www.freelancer.com/projects/php/woocommerce-website-with-flash-sale/,woocommerce website - with flash sale features. , #15864669,Completed,1,$250-750 USD,5,"HTML,PHP,Website Design,WooCommerce,WordPress",5,5,68,"Copenhagen, Denmark",Denmark,High income,20,1,20,21,0.095238095,0
274,https://www.freelancer.com/projects/excel/income-statement-profit-loss-statement-15833520/, Income Statement (Profit & Loss Statement) & Balance Sheet, #15833520,In Progress,1,$30-250 USD,2,"Accounting,Data Entry,Data Processing,Excel,Finance",5,0,0,"Rajshahi, Bangladesh",Bangladesh,Lower middle income,10,1,10,14,0.357142857,0
277,https://www.freelancer.com/projects/php/php-admin-project/,php admin project, #15816979,Completed,1,€8-30 EUR,5,"HTML,Javascript,MySQL,PHP,Website Design",5,5,3,"sandrigo, Italy",Italy,High income,4,1,4,14,0.785714286,0
282,https://www.freelancer.com/projects/mobile-phone/add-urban-airship-push-notification-15780940/,Add Urban Airship push notification support and sharing for Ionic App -- 2, #15780940,Completed,1,$30-250 USD,5,"Ionic Framework,iPhone,Mobile App Development,PhoneGap,Push Notification",5,4.8,34,"Central, Hong Kong",Hong Kong,High income,3,1,3,3,0.333333333,0
286,https://www.freelancer.com/projects/software-architecture/complete-current-python-scraper-for-15759569/,Complete current python scraper for windows, #15759569,Completed,1,€30-100 EUR,5,"NoSQL Couch & Mongo,Python,Software Architecture,Web Scraping",4,5,15,"ho chi minh city, Vietnam",Vietnam,Lower middle income,3,1,3,5,0.6,0
293,https://www.freelancer.com/projects/graphic-design/clan-geek-blog-logo-design/,Clan Geek Blog Logo Design, #15729283,Completed,1,£250-750 GBP,0,"Graphic Design,Logo Design",2,5,1,"Workington, United Kingdom",United Kingdom,High income,21,1,21,21,0.047619048,0
297,https://www.freelancer.com/projects/graphic-design/ios-android-app-design-for/,IOS/Android App Design for Coupon Sales, #15689598,Completed,1,$250-750 USD,3,"Android,Graphic Design,iPhone,Mobile App Development,User Interface / IA",5,5,8,"Auburn, United States",United States,High income,10,1,10,20,0.55,0
